nohup: ignoring input
numactl: enabled
wrote: msr_prxy_1.oracleGeneral lruforgive t=4 hp=26 run=1 miss=0.4116 mqps=0.10
wrote: msr_prxy_1.oracleGeneral lruforgive t=4 hp=26 run=2 miss=0.4149 mqps=0.10
wrote: msr_prxy_1.oracleGeneral lruforgive t=4 hp=26 run=3 miss=0.4386 mqps=0.10
wrote: msr_prxy_1.oracleGeneral lru t=8 hp=27 run=1 miss=0.6909 mqps=1.41
FAIL: s3fifo msr_prxy_1.oracleGeneral t=8 hp=27 | last line: 
wrote: msr_prxy_1.oracleGeneral lruforgive t=8 hp=27 run=1 miss=0.5291 mqps=0.09
wrote: msr_prxy_1.oracleGeneral lruforgive t=8 hp=27 run=2 miss=0.5343 mqps=0.10
wrote: msr_prxy_1.oracleGeneral lruforgive t=8 hp=27 run=3 miss=0.5380 mqps=0.13
wrote: msr_prxy_1.oracleGeneral lru t=16 hp=28 run=1 miss=0.7669 mqps=1.19
FAIL: s3fifo msr_prxy_1.oracleGeneral t=16 hp=28 | last line: 
wrote: msr_prxy_1.oracleGeneral lruforgive t=16 hp=28 run=1 miss=0.6656 mqps=0.17
wrote: msr_prxy_1.oracleGeneral lruforgive t=16 hp=28 run=2 miss=0.6721 mqps=0.17
wrote: msr_prxy_1.oracleGeneral lruforgive t=16 hp=28 run=3 miss=0.6723 mqps=0.17
DONE -> /mydata/tardis/mt_results.csv
