nohup: ignoring input
##### PASS 1: BASELINES (lru, s3fifo) #####
=== lru ===
[skip missing] cluster26.oracleGeneral
[have] s3fifo msr_usr_2.oracleGeneral 8192MB
[have] s3fifo msr_web_2.oracleGeneral 8MB
[have] s3fifo msr_web_2.oracleGeneral 16MB
[have] s3fifo msr_web_2.oracleGeneral 32MB
[have] s3fifo msr_web_2.oracleGeneral 64MB
[have] s3fifo msr_web_2.oracleGeneral 128MB
[have] s3fifo msr_web_2.oracleGeneral 256MB
[have] s3fifo msr_web_2.oracleGeneral 512MB
[have] s3fifo msr_web_2.oracleGeneral 1024MB
[have] s3fifo msr_web_2.oracleGeneral 2048MB
[have] s3fifo msr_web_2.oracleGeneral 4096MB
[have] s3fifo msr_web_2.oracleGeneral 8192MB
##### PASS 2: TARDIS (lruforgive, capped at 1024MB) #####
[skip missing] cluster26.oracleGeneral
[have] lruforgive cluster10.oracleGeneral 8MB
[have] lruforgive cluster10.oracleGeneral 16MB
[have] lruforgive cluster10.oracleGeneral 32MB
[have] lruforgive cluster10.oracleGeneral 64MB
[have] lruforgive cluster10.oracleGeneral 128MB
[have] lruforgive cluster10.oracleGeneral 256MB
[have] lruforgive cluster10.oracleGeneral 512MB
[have] lruforgive cluster10.oracleGeneral 1024MB
[skip >1024MB] lruforgive cluster10.oracleGeneral 2048MB
[skip >1024MB] lruforgive cluster10.oracleGeneral 4096MB
[skip >1024MB] lruforgive cluster10.oracleGeneral 8192MB
[have] lruforgive cluster50.oracleGeneral 8MB
[have] lruforgive cluster50.oracleGeneral 16MB
[have] lruforgive cluster50.oracleGeneral 32MB
[have] lruforgive cluster50.oracleGeneral 64MB
[have] lruforgive cluster50.oracleGeneral 128MB
[have] lruforgive cluster50.oracleGeneral 256MB
[have] lruforgive cluster50.oracleGeneral 512MB
[have] lruforgive cluster50.oracleGeneral 1024MB
[skip >1024MB] lruforgive cluster50.oracleGeneral 2048MB
[skip >1024MB] lruforgive cluster50.oracleGeneral 4096MB
[skip >1024MB] lruforgive cluster50.oracleGeneral 8192MB
[have] lruforgive cluster53.oracleGeneral 8MB
[have] lruforgive cluster53.oracleGeneral 16MB
[have] lruforgive cluster53.oracleGeneral 32MB
[have] lruforgive cluster53.oracleGeneral 64MB
[have] lruforgive cluster53.oracleGeneral 128MB
[have] lruforgive cluster53.oracleGeneral 256MB
[have] lruforgive cluster53.oracleGeneral 512MB
[have] lruforgive cluster53.oracleGeneral 1024MB
[skip >1024MB] lruforgive cluster53.oracleGeneral 2048MB
[skip >1024MB] lruforgive cluster53.oracleGeneral 4096MB
[skip >1024MB] lruforgive cluster53.oracleGeneral 8192MB
[have] lruforgive cluster45.oracleGeneral 8MB
[have] lruforgive cluster45.oracleGeneral 16MB
[have] lruforgive cluster45.oracleGeneral 32MB
[have] lruforgive cluster45.oracleGeneral 64MB
[have] lruforgive cluster45.oracleGeneral 128MB
[have] lruforgive cluster45.oracleGeneral 256MB
[have] lruforgive cluster45.oracleGeneral 512MB
[have] lruforgive cluster45.oracleGeneral 1024MB
[skip >1024MB] lruforgive cluster45.oracleGeneral 2048MB
[skip >1024MB] lruforgive cluster45.oracleGeneral 4096MB
[skip >1024MB] lruforgive cluster45.oracleGeneral 8192MB
[have] lruforgive cache-t-00.oracleGeneral 8MB
[have] lruforgive cache-t-00.oracleGeneral 16MB
[have] lruforgive cache-t-00.oracleGeneral 32MB
[have] lruforgive cache-t-00.oracleGeneral 64MB
[have] lruforgive cache-t-00.oracleGeneral 128MB
[have] lruforgive cache-t-00.oracleGeneral 256MB
[have] lruforgive cache-t-00.oracleGeneral 512MB
[have] lruforgive cache-t-00.oracleGeneral 1024MB
[skip >1024MB] lruforgive cache-t-00.oracleGeneral 2048MB
[skip >1024MB] lruforgive cache-t-00.oracleGeneral 4096MB
[skip >1024MB] lruforgive cache-t-00.oracleGeneral 8192MB
[have] lruforgive msr_proj_0.oracleGeneral 8MB
[have] lruforgive msr_proj_0.oracleGeneral 16MB
[have] lruforgive msr_proj_0.oracleGeneral 32MB
[have] lruforgive msr_proj_0.oracleGeneral 64MB
[have] lruforgive msr_proj_0.oracleGeneral 128MB
[have] lruforgive msr_proj_0.oracleGeneral 256MB
[have] lruforgive msr_proj_0.oracleGeneral 512MB
[have] lruforgive msr_proj_0.oracleGeneral 1024MB
[skip >1024MB] lruforgive msr_proj_0.oracleGeneral 2048MB
[skip >1024MB] lruforgive msr_proj_0.oracleGeneral 4096MB
[skip >1024MB] lruforgive msr_proj_0.oracleGeneral 8192MB
[skip missing] 202206_kv_traces_all.csv.oracleGeneral
[skip missing] 202210_kv_traces_all_sort.csv.oracleGeneral
[have] lruforgive msr_proj_1.oracleGeneral 8MB
[have] lruforgive msr_proj_1.oracleGeneral 16MB
[have] lruforgive msr_proj_1.oracleGeneral 32MB
[have] lruforgive msr_proj_1.oracleGeneral 64MB
[have] lruforgive msr_proj_1.oracleGeneral 128MB
[have] lruforgive msr_proj_1.oracleGeneral 256MB
[have] lruforgive msr_proj_1.oracleGeneral 512MB
[have] lruforgive msr_proj_1.oracleGeneral 1024MB
[skip >1024MB] lruforgive msr_proj_1.oracleGeneral 2048MB
[skip >1024MB] lruforgive msr_proj_1.oracleGeneral 4096MB
[skip >1024MB] lruforgive msr_proj_1.oracleGeneral 8192MB
[have] lruforgive msr_proj_2.oracleGeneral 8MB
[have] lruforgive msr_proj_2.oracleGeneral 16MB
[have] lruforgive msr_proj_2.oracleGeneral 32MB
[have] lruforgive msr_proj_2.oracleGeneral 64MB
[have] lruforgive msr_proj_2.oracleGeneral 128MB
[have] lruforgive msr_proj_2.oracleGeneral 256MB
[have] lruforgive msr_proj_2.oracleGeneral 512MB
[have] lruforgive msr_proj_2.oracleGeneral 1024MB
