trace,policy,mode,size_mb,threads,hp,rep,miss_ratio,mqps,requests
cluster53,logbackoff,shared,1200,16,30,1,0.0954,0.55,246508262
cluster53,logbackoff,shared,1200,16,30,2,0.0955,0.56,246508262
cluster53,lru,shared,600,1,25,1,0.1281,1.43,246508261
cluster53,lru,shared,600,1,25,2,0.1281,1.43,246508261
cluster53,logbackoff,shared,600,1,25,1,0.1276,0.48,246508261
cluster53,logbackoff,shared,600,1,25,2,0.1276,0.51,246508261
cluster53,lru,shared,600,2,26,1,0.1299,2.49,246508262
cluster53,lru,shared,600,2,26,2,0.1299,2.49,246508262
cluster53,logbackoff,shared,600,2,26,1,0.1285,0.58,246508262
cluster53,logbackoff,shared,600,2,26,2,0.1286,0.60,246508262
cluster53,lru,shared,600,4,27,1,0.1309,3.87,246508262
cluster53,lru,shared,600,4,27,2,0.1313,3.87,246508262
cluster53,logbackoff,shared,600,4,27,1,0.1283,0.53,246508262
cluster53,logbackoff,shared,600,4,27,2,0.1286,0.55,246508262
cluster53,lru,shared,600,8,28,1,0.1298,4.35,246508262
cluster53,lru,shared,600,8,28,2,0.1300,4.35,246508262
cluster53,logbackoff,shared,600,8,28,1,0.1281,0.48,246508262
cluster53,logbackoff,shared,600,8,28,2,0.1282,0.48,246508262
cluster53,lru,shared,600,16,29,1,0.1297,4.35,246508262
cluster53,lru,shared,600,16,29,2,0.1296,4.35,246508262
cluster53,logbackoff,shared,600,16,29,1,0.1283,0.52,246508262
cluster53,logbackoff,shared,600,16,29,2,0.1283,0.53,246508262
cluster53,lru,shared,128,1,23,1,0.2618,0.96,246508261
cluster53,lru,shared,128,1,23,2,0.2618,0.95,246508261
cluster53,logbackoff,shared,128,1,23,1,0.2426,0.35,246508261
cluster53,logbackoff,shared,128,1,23,2,0.2426,0.35,246508261
cluster53,lru,shared,128,2,24,1,0.2653,1.77,246508262
cluster53,lru,shared,128,2,24,2,0.2653,1.70,246508262
cluster53,logbackoff,shared,128,2,24,1,0.2490,0.52,246508262
cluster53,logbackoff,shared,128,2,24,2,0.2500,0.52,246508262
cluster53,lru,shared,128,4,25,1,0.2677,3.00,246508262
cluster53,lru,shared,128,4,25,2,0.2679,3.01,246508262
cluster53,logbackoff,shared,128,4,25,1,0.2473,0.57,246508262
cluster53,logbackoff,shared,128,4,25,2,0.2475,0.56,246508262
cluster53,lru,shared,128,8,26,1,0.3021,3.84,246508262
cluster53,lru,shared,128,8,26,2,0.3060,3.80,246508262
cluster53,logbackoff,shared,128,8,26,1,0.3052,0.51,246508262
cluster53,logbackoff,shared,128,8,26,2,0.3054,0.51,246508262
cluster53,lru,shared,128,16,27,1,0.3425,3.76,246508262
cluster53,lru,shared,128,16,27,2,0.3471,3.62,246508262
cluster53,logbackoff,shared,128,16,27,1,0.2552,0.57,246508262
cluster53,logbackoff,shared,128,16,27,2,0.2562,0.57,246508262
msr_prxy_1,lru,shared,1200,1,26,1,0.0027,3.10,168638963
msr_prxy_1,lru,shared,1200,1,26,2,0.0027,3.11,168638963
msr_prxy_1,logbackoff,shared,1200,1,26,1,0.0027,1.65,168638963
msr_prxy_1,logbackoff,shared,1200,1,26,2,0.0027,1.63,168638963
msr_prxy_1,lru,shared,1200,2,27,1,0.0027,4.23,168638964
msr_prxy_1,lru,shared,1200,2,27,2,0.0028,4.23,168638964
msr_prxy_1,logbackoff,shared,1200,2,27,1,0.0027,1.24,168638964
msr_prxy_1,logbackoff,shared,1200,2,27,2,0.0027,1.76,168638964
msr_prxy_1,lru,shared,1200,4,28,1,0.0027,7.05,168638964
msr_prxy_1,lru,shared,1200,4,28,2,0.0027,7.05,168638964
msr_prxy_1,logbackoff,shared,1200,4,28,1,0.0027,1.17,168638964
msr_prxy_1,logbackoff,shared,1200,4,28,2,0.0027,1.63,168638964
msr_prxy_1,lru,shared,1200,8,29,1,0.0027,7.05,168638964
msr_prxy_1,lru,shared,1200,8,29,2,0.0027,7.05,168638964
msr_prxy_1,logbackoff,shared,1200,8,29,1,0.0027,1.51,168638964
msr_prxy_1,logbackoff,shared,1200,8,29,2,0.0027,1.63,168638964
msr_prxy_1,lru,shared,1200,16,30,1,0.0029,9.85,168638964
msr_prxy_1,lru,shared,1200,16,30,2,0.0028,9.78,168638964
msr_prxy_1,logbackoff,shared,1200,16,30,1,0.0027,1.63,168638964
msr_prxy_1,logbackoff,shared,1200,16,30,2,0.0027,1.63,168638964
msr_prxy_1,lru,shared,600,1,25,1,0.0031,3.19,168638963
msr_prxy_1,lru,shared,600,1,25,2,0.0031,3.18,168638963
msr_prxy_1,logbackoff,shared,600,1,25,1,0.0030,1.67,168638963
msr_prxy_1,logbackoff,shared,600,1,25,2,0.0030,1.71,168638963
msr_prxy_1,lru,shared,600,2,26,1,0.0031,4.23,168638964
msr_prxy_1,lru,shared,600,2,26,2,0.0031,4.23,168638964
msr_prxy_1,logbackoff,shared,600,2,26,1,0.0030,1.63,168638964
msr_prxy_1,logbackoff,shared,600,2,26,2,0.0030,1.63,168638964
msr_prxy_1,lru,shared,600,4,27,1,0.0032,7.05,168638964
msr_prxy_1,lru,shared,600,4,27,2,0.0033,7.05,168638964
msr_prxy_1,logbackoff,shared,600,4,27,1,0.0030,1.63,168638964
msr_prxy_1,logbackoff,shared,600,4,27,2,0.0030,1.32,168638964
msr_prxy_1,lru,shared,600,8,28,1,0.0032,7.05,168638964
msr_prxy_1,lru,shared,600,8,28,2,0.0031,7.05,168638964
msr_prxy_1,logbackoff,shared,600,8,28,1,0.0030,1.51,168638964
msr_prxy_1,logbackoff,shared,600,8,28,2,0.0030,1.17,168638964
msr_prxy_1,lru,shared,600,16,29,1,0.0035,10.01,168638964
msr_prxy_1,lru,shared,600,16,29,2,0.0035,9.59,168638964
msr_prxy_1,logbackoff,shared,600,16,29,1,0.0030,1.32,168638964
msr_prxy_1,logbackoff,shared,600,16,29,2,0.0030,1.51,168638964
msr_prxy_1,lru,shared,256,1,24,1,0.2846,0.69,168638963
msr_prxy_1,lru,shared,256,1,24,2,0.2846,0.69,168638963
msr_prxy_1,logbackoff,shared,256,1,24,1,0.1964,0.43,168638963
msr_prxy_1,logbackoff,shared,256,1,24,2,0.1996,0.42,168638963
msr_prxy_1,lru,shared,256,2,25,1,0.1087,1.80,168638964
msr_prxy_1,lru,shared,256,2,25,2,0.2624,1.40,168638964
msr_prxy_1,logbackoff,shared,256,2,25,1,0.0911,0.70,168638964
msr_prxy_1,logbackoff,shared,256,2,25,2,0.0915,0.70,168638964
msr_prxy_1,lru,shared,256,4,26,1,0.0855,3.81,168638964
msr_prxy_1,lru,shared,256,4,26,2,0.0884,3.82,168638964
msr_prxy_1,logbackoff,shared,256,4,26,1,0.0750,0.76,168638964
msr_prxy_1,logbackoff,shared,256,4,26,2,0.0630,0.80,168638964
msr_prxy_1,lru,shared,256,8,27,1,0.1289,3.40,168638964
msr_prxy_1,lru,shared,256,8,27,2,0.1064,3.89,168638964
msr_prxy_1,logbackoff,shared,256,8,27,1,0.0577,0.74,168638964
msr_prxy_1,logbackoff,shared,256,8,27,2,0.0689,0.64,168638964
msr_prxy_1,lru,shared,256,16,28,1,0.0901,4.44,168638964
msr_prxy_1,lru,shared,256,16,28,2,0.0820,4.56,168638964
msr_prxy_1,logbackoff,shared,256,16,28,1,0.0533,0.71,168638964
msr_prxy_1,logbackoff,shared,256,16,28,2,0.0544,0.71,168638964
