dataset,trace,cache_pct,lru,lruforgive,lru_gap_pp,s3fifo,s3fifoforgive,s3_gap_pp
?,tencentBlock_4546,10,0.2049,0.2035,0.140,0.1980,0.1983,-0.030
?,tencentBlock_4550,10,0.1194,0.1184,0.100,0.1127,0.1127,0.000
?,tencentBlock_4554,10,0.2450,0.2360,0.900,0.2231,0.2268,-0.370
?,tencentBlock_4557,10,0.2587,0.2587,0.000,0.2599,0.2597,0.020
?,tencentBlock_4566,10,0.0540,0.0533,0.070,0.0534,0.0535,-0.010
?,tencentBlock_4573,10,0.1659,0.1647,0.120,0.1572,0.1572,0.000
?,tencentBlock_4579,10,0.1609,0.1548,0.610,0.1540,0.1540,0.000
?,tencentBlock_4586,10,0.3040,0.2999,0.410,0.2995,0.2994,0.010
?,tencentBlock_4589,10,0.7743,0.7743,0.000,0.7743,0.7743,0.000
?,tencentBlock_4597,10,0.2243,0.2250,-0.070,0.2336,0.2334,0.020
?,tencentBlock_4600,10,0.0617,0.0611,0.060,0.0563,0.0563,0.000
?,tencentBlock_4609,10,0.2830,0.2817,0.130,0.2858,0.2858,0.000
?,tencentBlock_4613,10,0.4515,0.4481,0.340,0.4097,0.4096,0.010
?,tencentBlock_4619,10,0.1125,0.1103,0.220,0.1058,0.1058,0.000
?,tencentBlock_4622,10,0.2488,0.2478,0.100,0.2432,0.2431,0.010
?,tencentBlock_4625,10,0.3469,0.3436,0.330,0.3386,0.3385,0.010
?,tencentBlock_4633,10,0.1844,0.1820,0.240,0.1737,0.1736,0.010
?,tencentBlock_4636,10,0.2509,0.2514,-0.050,0.2588,0.2588,0.000
?,tencentBlock_4642,10,0.1235,0.1189,0.460,0.1066,0.1046,0.200
?,tencentBlock_4650,10,0.7044,0.7039,0.050,0.7065,0.7065,0.000
?,tencentBlock_4651,10,0.0541,0.0531,0.100,0.0446,0.0445,0.010
?,tencentBlock_4659,10,0.3830,0.3811,0.190,0.3781,0.3781,0.000
?,tencentBlock_4663,10,0.3793,0.3782,0.110,0.3700,0.3700,0.000
?,tencentBlock_4672,10,0.4522,0.4521,0.010,0.4601,0.4601,0.000
?,tencentBlock_4675,10,0.0727,0.0707,0.200,0.0686,0.0684,0.020
?,tencentBlock_4679,10,0.4169,0.4164,0.050,0.4119,0.4119,0.000
?,tencentBlock_4688,10,0.1684,0.1649,0.350,0.1604,0.1614,-0.100
?,tencentBlock_4689,10,0.3178,0.3174,0.040,0.3222,0.3222,0.000
?,tencentBlock_4693,10,0.1844,0.1434,4.100,0.1160,0.1179,-0.190
?,tencentBlock_4699,10,0.1782,0.1781,0.010,0.1741,0.1741,0.000
?,tencentBlock_4704,10,0.2143,0.2136,0.070,0.2048,0.2048,0.000
?,tencentBlock_4712,10,0.3385,0.2769,6.160,0.2511,0.2681,-1.700
?,tencentBlock_4713,10,0.1370,0.1337,0.330,0.1268,0.1266,0.020
?,tencentBlock_4716,10,0.2184,0.2124,0.600,0.2045,0.2050,-0.050
?,tencentBlock_4723,10,0.6723,0.6719,0.040,0.6693,0.6693,0.000
?,tencentBlock_4724,10,0.1526,0.1522,0.040,0.1487,0.1487,0.000
?,tencentBlock_4733,10,0.5479,0.5471,0.080,0.5481,0.5479,0.020
?,tencentBlock_4735,10,0.2351,0.2345,0.060,0.2401,0.2401,0.000
?,tencentBlock_4739,10,0.1293,0.1284,0.090,0.1247,0.1249,-0.020
?,tencentBlock_4751,10,0.2622,0.2556,0.660,0.2261,0.2264,-0.030
?,tencentBlock_4760,10,0.2434,0.2443,-0.090,0.2599,0.2600,-0.010
?,tencentBlock_4769,10,0.4659,0.4658,0.010,0.4669,0.4669,0.000
?,tencentBlock_4775,10,0.2927,0.2886,0.410,0.2618,0.2540,0.780
?,tencentBlock_4778,10,0.3688,0.3666,0.220,0.3677,0.3677,0.000
?,tencentBlock_4794,10,0.2505,0.2453,0.520,0.2300,0.2306,-0.060
?,tencentBlock_4801,10,0.5026,0.4774,2.520,0.2919,0.2926,-0.070
?,tencentBlock_4805,10,0.1676,0.1671,0.050,0.1582,0.1582,0.000
?,tencentBlock_4811,10,0.1994,0.1989,0.050,0.2014,0.2016,-0.025
?,tencentBlock_4821,10,0.5633,0.5511,1.220,0.5370,0.5370,0.000
?,tencentBlock_4830,10,0.2582,0.2556,0.260,0.2583,0.2571,0.120
?,tencentBlock_4836,10,0.4218,0.4111,1.070,0.4012,0.4019,-0.070
?,tencentBlock_4845,10,0.0845,0.0844,0.010,0.0886,0.0886,0.000
?,tencentBlock_4851,10,0.1197,0.1253,-0.560,0.1218,0.1205,0.130
?,tencentBlock_4858,10,0.2372,0.2369,0.030,0.2116,0.2121,-0.050
?,tencentBlock_4862,10,0.2113,0.2093,0.200,0.2045,0.2045,0.000
?,tencentBlock_4870,10,0.2521,0.2484,0.370,0.2423,0.2423,0.000
?,tencentBlock_4871,10,0.6314,0.5850,4.640,0.5189,0.5200,-0.110
?,tencentBlock_4879,10,0.5461,0.5419,0.420,0.5282,0.5282,0.000
?,tencentBlock_4882,10,0.1967,0.1949,0.180,0.1884,0.1879,0.050
?,tencentBlock_4892,10,0.1712,0.1691,0.210,0.1556,0.1560,-0.040
?,tencentBlock_4900,10,0.2553,0.2555,-0.020,0.2559,0.2565,-0.060
?,tencentBlock_4908,10,0.2418,0.2418,0.000,0.2418,0.2418,0.000
?,tencentBlock_4915,10,0.2017,0.2378,-3.610,0.2090,0.2051,0.390
?,tencentBlock_4919,10,0.5072,0.5064,0.080,0.4742,0.4743,-0.010
?,tencentBlock_4937,10,0.2248,0.2241,0.070,0.2226,0.2227,-0.010
?,tencentBlock_4940,10,0.0946,0.0942,0.040,0.0769,0.0769,0.000
?,tencentBlock_4941,10,0.2256,0.2231,0.250,0.2144,0.2153,-0.090
?,tencentBlock_4949,10,0.5501,0.5501,0.000,0.5460,,
?,tencentBlock_4964,10,0.2759,0.2736,0.230,0.2636,0.2638,-0.015
?,tencentBlock_4971,10,0.2129,0.2129,0.000,0.2128,0.2128,0.000
?,tencentBlock_4994,10,0.2541,0.2541,0.000,0.2541,0.2541,0.000
?,tencentBlock_4998,10,0.0732,0.0716,0.160,0.0664,0.0666,-0.020
?,tencentBlock_5009,10,0.1284,0.1271,0.130,0.1203,0.1203,0.000
?,tencentBlock_5029,10,0.2401,0.2388,0.130,0.2308,0.2319,-0.110
?,tencentBlock_5060,10,0.3080,0.3046,0.340,0.2932,0.2916,0.155
?,tencentBlock_5094,10,0.0744,0.0734,0.100,0.0704,0.0704,0.000
?,tencentBlock_5106,10,0.1806,0.1786,0.200,0.1670,0.1669,0.010
?,tencentBlock_5118,10,,,,,,
?,tencentBlock_5127,10,0.4174,0.3982,1.920,0.3795,0.3760,0.350
?,tencentBlock_5139,10,0.2024,0.1992,0.320,0.1957,0.1957,0.000
?,tencentBlock_5140,10,0.0623,0.0620,0.030,0.0568,0.0566,0.020
?,tencentBlock_5263,10,0.3289,0.3265,0.240,0.3145,0.3145,0.000
?,tencentBlock_5276,10,0.1671,0.1669,0.020,0.1639,0.1639,-0.005
?,tencentBlock_5293,10,0.2375,0.2343,0.320,0.2258,0.2257,0.010
?,tencentBlock_5301,10,0.2262,0.2252,0.100,0.2196,0.2196,0.000
?,tencentBlock_5310,10,0.0887,0.0871,0.160,0.0854,0.0855,-0.010
?,tencentBlock_5316,10,0.2095,0.2082,0.130,0.1890,0.1890,0.000
?,tencentBlock_5318,10,0.0722,0.0703,0.190,0.0686,,
alibabaBlock_new,alibabaBlock_0,10,0.3697,0.3682,0.150,,,
alibabaBlock_new,alibabaBlock_1,10,0.0978,0.0981,-0.030,0.1180,0.1170,0.100
alibabaBlock_new,alibabaBlock_10,10,,,,,,
alibabaBlock_new,alibabaBlock_100,10,0.6548,0.6545,0.030,0.6485,0.6484,0.010
alibabaBlock_new,alibabaBlock_103,10,0.7366,0.7362,0.040,,,
alibabaBlock_new,alibabaBlock_106,10,0.7326,0.7322,0.040,,,
alibabaBlock_new,alibabaBlock_107,10,,,,,,
alibabaBlock_new,alibabaBlock_109,10,0.7346,0.7342,0.040,0.7351,0.7351,-0.005
alibabaBlock_new,alibabaBlock_11,10,0.6117,0.6083,0.340,0.6060,0.6059,0.010
alibabaBlock_new,alibabaBlock_111,10,0.7366,0.7362,0.040,0.7371,0.7371,0.005
alibabaBlock_new,alibabaBlock_112,10,0.2408,0.2401,0.070,0.2700,0.2697,0.030
alibabaBlock_new,alibabaBlock_113,10,0.1138,0.1130,0.080,0.1376,0.1375,0.010
alibabaBlock_new,alibabaBlock_115,10,0.1084,0.1078,0.060,,0.1307,
alibabaBlock_new,alibabaBlock_116,10,0.7351,0.7348,0.030,0.7356,0.7356,0.000
alibabaBlock_new,alibabaBlock_117,10,0.5518,0.5478,0.400,0.5072,0.5070,0.025
alibabaBlock_new,alibabaBlock_12,10,0.4369,0.4320,0.490,0.3508,0.3496,0.120
alibabaBlock_new,alibabaBlock_121,10,0.0373,0.0373,0.000,0.0390,0.0390,0.000
alibabaBlock_new,alibabaBlock_122,10,0.1947,0.1916,0.310,,0.1733,
alibabaBlock_new,alibabaBlock_123,10,0.1173,0.1160,0.130,,,
alibabaBlock_new,alibabaBlock_124,10,0.1815,,,0.1577,,
alibabaBlock_new,alibabaBlock_126,10,0.2123,0.2120,0.030,,,
alibabaBlock_new,alibabaBlock_128,10,0.1066,0.1065,0.010,,0.1326,
alibabaBlock_new,alibabaBlock_13,10,0.7389,0.7386,0.030,,0.7393,
alibabaBlock_new,alibabaBlock_130,10,0.7336,0.7332,0.040,,,
alibabaBlock_new,alibabaBlock_131,10,0.0968,0.0965,0.030,0.1166,0.1166,0.000
alibabaBlock_new,alibabaBlock_132,10,0.3661,0.3538,1.230,0.3036,0.3042,-0.060
alibabaBlock_new,alibabaBlock_133,10,0.1064,0.1061,0.030,0.1041,0.1041,0.000
alibabaBlock_new,alibabaBlock_135,10,0.0975,0.0975,0.000,,0.1265,
alibabaBlock_new,alibabaBlock_136,10,0.7434,0.7430,0.040,,,
alibabaBlock_new,alibabaBlock_138,10,0.1068,0.1066,0.020,0.1049,0.1049,0.000
alibabaBlock_new,alibabaBlock_14,10,0.2375,0.2359,0.160,,0.2308,
alibabaBlock_new,alibabaBlock_141,10,,,,,,
alibabaBlock_new,alibabaBlock_144,10,,,,,,
alibabaBlock_new,alibabaBlock_145,10,0.7350,0.7346,0.040,0.7355,0.7355,0.000
alibabaBlock_new,alibabaBlock_147,10,0.1081,0.1075,0.060,,0.1304,
alibabaBlock_new,alibabaBlock_148,10,0.1910,0.1910,0.000,0.1926,0.1926,0.000
alibabaBlock_new,alibabaBlock_15,10,0.6144,0.6112,0.320,0.6087,0.6083,0.040
alibabaBlock_new,alibabaBlock_150,10,0.3052,0.3050,0.020,0.3026,0.3026,0.000
alibabaBlock_new,alibabaBlock_154,10,0.1196,0.1191,0.050,0.1205,0.1210,-0.045
alibabaBlock_new,alibabaBlock_157,10,0.1226,0.1221,0.050,,,
alibabaBlock_new,alibabaBlock_16,10,0.7414,0.7410,0.040,0.7418,0.7418,0.000
alibabaBlock_new,alibabaBlock_160,10,0.1235,0.1233,0.020,0.1431,0.1429,0.020
alibabaBlock_new,alibabaBlock_161,10,0.1094,0.1088,0.060,0.1314,0.1312,0.020
alibabaBlock_new,alibabaBlock_163,10,0.0972,0.0974,-0.020,0.1162,0.1161,0.010
alibabaBlock_new,alibabaBlock_165,10,0.1697,0.1688,0.090,0.1639,0.1639,-0.005
alibabaBlock_new,alibabaBlock_166,10,0.7389,0.7385,0.040,,,
alibabaBlock_new,alibabaBlock_169,10,0.7507,0.7503,0.040,,,
alibabaBlock_new,alibabaBlock_17,10,0.2004,0.2003,0.010,0.2370,0.2368,0.020
alibabaBlock_new,alibabaBlock_173,10,0.1135,0.1131,0.040,,0.1346,
alibabaBlock_new,alibabaBlock_174,10,0.1066,0.1062,0.040,,0.1290,
alibabaBlock_new,alibabaBlock_176,10,0.1062,0.1059,0.030,0.1045,0.1045,0.000
alibabaBlock_new,alibabaBlock_177,10,0.0768,0.0768,0.000,0.0814,0.0814,0.000
alibabaBlock_new,alibabaBlock_178,10,,,,,,
alibabaBlock_new,alibabaBlock_18,10,0.7299,0.7295,0.040,,,
alibabaBlock_new,alibabaBlock_181,10,0.0442,0.0442,0.000,,0.0518,
alibabaBlock_new,alibabaBlock_187,10,0.7315,0.7312,0.030,,,
alibabaBlock_new,alibabaBlock_188,10,0.0513,0.0511,0.020,0.0578,0.0578,0.000
alibabaBlock_new,alibabaBlock_189,10,0.2005,0.2003,0.020,0.2148,0.2146,0.020
alibabaBlock_new,alibabaBlock_19,10,0.1089,0.1083,0.060,,0.1298,
alibabaBlock_new,alibabaBlock_190,10,0.1144,0.1143,0.010,,0.1152,
alibabaBlock_new,alibabaBlock_191,10,0.1988,0.1986,0.020,,0.2321,
alibabaBlock_new,alibabaBlock_192,10,0.1085,0.1084,0.010,,0.1320,
alibabaBlock_new,alibabaBlock_193,10,0.1114,0.1112,0.020,0.1351,0.1351,0.000
alibabaBlock_new,alibabaBlock_195,10,0.0844,0.0844,0.000,0.0865,0.0865,0.000
alibabaBlock_new,alibabaBlock_197,10,0.1352,0.1352,0.000,0.1457,0.1453,0.040
alibabaBlock_new,alibabaBlock_198,10,0.1067,0.1064,0.030,0.1045,0.1044,0.010
alibabaBlock_new,alibabaBlock_2,10,0.1811,0.1807,0.040,0.1773,0.1772,0.010
alibabaBlock_new,alibabaBlock_20,10,0.7364,0.7360,0.040,0.7368,0.7368,0.000
alibabaBlock_new,alibabaBlock_200,10,0.7371,0.7367,0.040,,,
alibabaBlock_new,alibabaBlock_201,10,0.7354,0.7350,0.040,,,
alibabaBlock_new,alibabaBlock_202,10,0.7055,0.7011,0.440,,0.5547,
alibabaBlock_new,alibabaBlock_205,10,0.2312,0.2299,0.130,0.2415,0.2413,0.020
alibabaBlock_new,alibabaBlock_206,10,0.0263,0.0263,0.000,0.0249,0.0249,0.000
alibabaBlock_new,alibabaBlock_207,10,,,,,,
alibabaBlock_new,alibabaBlock_208,10,0.1069,0.1066,0.030,0.1047,0.1047,0.000
alibabaBlock_new,alibabaBlock_209,10,0.5703,0.5673,0.300,0.5342,0.5336,0.055
alibabaBlock_new,alibabaBlock_210,10,0.2898,0.2893,0.050,0.3374,0.3374,0.000
alibabaBlock_new,alibabaBlock_211,10,0.1195,0.1192,0.030,0.1330,,
alibabaBlock_new,alibabaBlock_212,10,0.5381,0.5328,0.530,0.5241,0.5256,-0.150
alibabaBlock_new,alibabaBlock_213,10,0.7349,0.7345,0.040,,,
alibabaBlock_new,alibabaBlock_219,10,0.0976,0.0975,0.010,0.1000,0.1000,0.000
alibabaBlock_new,alibabaBlock_22,10,0.7372,0.7369,0.030,0.7378,0.7378,0.000
alibabaBlock_new,alibabaBlock_220,10,0.7104,0.7086,0.180,0.6964,0.6964,0.000
alibabaBlock_new,alibabaBlock_221,10,,,,,,
alibabaBlock_new,alibabaBlock_223,10,0.2658,0.2566,0.920,,0.1915,
alibabaBlock_new,alibabaBlock_225,10,,,,,,
alibabaBlock_new,alibabaBlock_226,10,0.0866,0.0864,0.020,,0.0911,
alibabaBlock_new,alibabaBlock_227,10,0.1518,0.1506,0.120,,0.1465,
alibabaBlock_new,alibabaBlock_228,10,0.0430,0.0429,0.010,0.0433,0.0433,0.000
alibabaBlock_new,alibabaBlock_23,10,0.1036,0.1035,0.010,0.1081,0.1082,-0.010
alibabaBlock_new,alibabaBlock_231,10,0.7361,0.7357,0.040,0.7365,0.7365,0.000
alibabaBlock_new,alibabaBlock_232,10,0.1077,0.1075,0.020,0.1057,0.1057,0.000
alibabaBlock_new,alibabaBlock_236,10,0.1094,0.1092,0.020,0.1353,0.1352,0.010
alibabaBlock_new,alibabaBlock_237,10,0.2298,0.2304,-0.060,0.2666,0.2655,0.105
alibabaBlock_new,alibabaBlock_239,10,0.1053,0.1049,0.040,0.1267,0.1268,-0.010
alibabaBlock_new,alibabaBlock_24,10,0.1105,0.1096,0.090,0.1316,0.1315,0.010
alibabaBlock_new,alibabaBlock_241,10,0.1040,0.1044,-0.040,0.1212,0.1211,0.010
alibabaBlock_new,alibabaBlock_242,10,0.1187,0.1186,0.010,0.1373,0.1372,0.010
alibabaBlock_new,alibabaBlock_248,10,0.7329,0.7326,0.030,,,
alibabaBlock_new,alibabaBlock_25,10,0.6067,0.6033,0.340,0.6010,0.6020,-0.100
alibabaBlock_new,alibabaBlock_251,10,0.0986,0.0981,0.050,,0.1181,
alibabaBlock_new,alibabaBlock_254,10,0.7530,0.7527,0.030,,,
alibabaBlock_new,alibabaBlock_256,10,0.1237,0.1221,0.160,,0.1349,
alibabaBlock_new,alibabaBlock_26,10,0.5892,0.5855,0.370,0.5582,0.5581,0.010
alibabaBlock_new,alibabaBlock_261,10,0.7205,0.7132,0.730,,0.6398,
alibabaBlock_new,alibabaBlock_262,10,0.0474,0.0474,0.000,0.0552,0.0552,0.000
alibabaBlock_new,alibabaBlock_263,10,0.0948,0.0948,0.000,,0.1064,
alibabaBlock_new,alibabaBlock_264,10,0.1309,0.1309,0.000,0.1585,0.1579,0.060
alibabaBlock_new,alibabaBlock_269,10,0.2985,0.2982,0.030,0.2949,0.2944,0.050
alibabaBlock_new,alibabaBlock_27,10,0.7338,0.7335,0.030,0.7345,0.7345,0.000
alibabaBlock_new,alibabaBlock_273,10,0.1981,0.1979,0.020,0.2313,0.2310,0.030
alibabaBlock_new,alibabaBlock_275,10,,,,,,
alibabaBlock_new,alibabaBlock_276,10,0.2236,0.2233,0.030,0.2167,0.2168,-0.010
alibabaBlock_new,alibabaBlock_278,10,0.1752,0.1738,0.140,0.1729,0.1724,0.045
alibabaBlock_new,alibabaBlock_28,10,0.7345,0.7342,0.030,,,
alibabaBlock_new,alibabaBlock_283,10,0.1765,0.1764,0.010,0.1929,0.1926,0.025
alibabaBlock_new,alibabaBlock_289,10,0.0801,0.0803,-0.020,0.0924,0.0923,0.010
alibabaBlock_new,alibabaBlock_29,10,0.8310,0.8262,0.480,,0.7651,
alibabaBlock_new,alibabaBlock_293,10,0.1117,0.1116,0.010,,0.1190,
alibabaBlock_new,alibabaBlock_295,10,0.0912,0.0908,0.040,,0.1113,
alibabaBlock_new,alibabaBlock_3,10,0.5236,0.5227,0.090,0.5177,0.5175,0.020
alibabaBlock_new,alibabaBlock_30,10,0.1010,0.1005,0.050,0.1212,0.1211,0.010
alibabaBlock_new,alibabaBlock_303,10,0.7528,0.7525,0.030,0.7523,0.7523,0.000
alibabaBlock_new,alibabaBlock_311,10,0.0800,0.0804,-0.040,0.0934,0.0932,0.015
alibabaBlock_new,alibabaBlock_316,10,0.9096,0.9082,0.140,0.6088,0.6125,-0.370
alibabaBlock_new,alibabaBlock_32,10,,,,,,
alibabaBlock_new,alibabaBlock_324,10,0.2013,0.2011,0.020,,,
alibabaBlock_new,alibabaBlock_327,10,0.0981,0.0984,-0.030,,0.1182,
alibabaBlock_new,alibabaBlock_33,10,0.1115,0.1109,0.060,0.1362,0.1361,0.010
alibabaBlock_new,alibabaBlock_336,10,0.0503,0.0502,0.010,0.0589,0.0588,0.010
alibabaBlock_new,alibabaBlock_339,10,0.2011,0.2011,0.000,0.2398,0.2396,0.020
alibabaBlock_new,alibabaBlock_34,10,0.1068,0.1066,0.020,0.1050,0.1050,0.000
alibabaBlock_new,alibabaBlock_345,10,,,,,,
alibabaBlock_new,alibabaBlock_348,10,0.1920,0.1916,0.040,0.1997,0.1995,0.020
alibabaBlock_new,alibabaBlock_35,10,0.7368,0.7364,0.040,,,
alibabaBlock_new,alibabaBlock_354,10,0.1738,0.1737,0.010,,,
alibabaBlock_new,alibabaBlock_358,10,0.1775,0.1763,0.120,,0.1635,
alibabaBlock_new,alibabaBlock_36,10,0.7346,0.7342,0.040,0.7351,0.7351,0.000
alibabaBlock_new,alibabaBlock_361,10,0.1356,0.1352,0.040,0.1585,0.1583,0.020
alibabaBlock_new,alibabaBlock_363,10,0.7329,0.7325,0.040,0.7227,0.7227,0.000
alibabaBlock_new,alibabaBlock_369,10,,,,,,
alibabaBlock_new,alibabaBlock_37,10,0.1867,0.1847,0.200,0.1805,,
alibabaBlock_new,alibabaBlock_375,10,0.4238,0.4218,0.200,0.4130,0.4129,0.010
alibabaBlock_new,alibabaBlock_38,10,0.0618,,,0.0744,,
alibabaBlock_new,alibabaBlock_39,10,0.7420,0.7417,0.030,,,
alibabaBlock_new,alibabaBlock_391,10,0.1173,0.1172,0.010,0.1182,0.1180,0.020
alibabaBlock_new,alibabaBlock_395,10,0.1958,0.1956,0.020,0.2293,0.2291,0.020
alibabaBlock_new,alibabaBlock_399,10,0.0977,0.0980,-0.030,,0.1175,
alibabaBlock_new,alibabaBlock_4,10,0.0318,,,0.0319,0.0319,0.000
alibabaBlock_new,alibabaBlock_40,10,0.0927,0.0925,0.020,0.0843,0.0842,0.005
alibabaBlock_new,alibabaBlock_401,10,0.2106,0.2103,0.030,,,
alibabaBlock_new,alibabaBlock_402,10,0.0982,0.0985,-0.030,,0.1180,
alibabaBlock_new,alibabaBlock_43,10,0.7414,0.7411,0.030,,,
alibabaBlock_new,alibabaBlock_430,10,0.1142,0.1147,-0.050,,,
alibabaBlock_new,alibabaBlock_434,10,0.1366,0.1363,0.030,0.1575,0.1572,0.030
alibabaBlock_new,alibabaBlock_435,10,0.1025,0.1026,-0.010,0.1062,0.1062,0.000
alibabaBlock_new,alibabaBlock_445,10,0.3355,0.3323,0.320,0.3014,0.3012,0.020
alibabaBlock_new,alibabaBlock_446,10,0.1167,0.1153,0.140,0.1317,0.1322,-0.050
alibabaBlock_new,alibabaBlock_46,10,0.1002,0.0997,0.050,0.1204,0.1203,0.010
alibabaBlock_new,alibabaBlock_460,10,0.1273,0.1271,0.020,,0.1456,
alibabaBlock_new,alibabaBlock_466,10,0.1678,0.1677,0.010,,,
alibabaBlock_new,alibabaBlock_47,10,0.7322,0.7319,0.030,,,
alibabaBlock_new,alibabaBlock_470,10,0.4775,0.4769,0.060,0.4761,0.4761,0.000
alibabaBlock_new,alibabaBlock_48,10,0.1216,0.1209,0.070,0.1456,0.1455,0.010
alibabaBlock_new,alibabaBlock_483,10,0.1190,0.1188,0.020,0.1384,,
alibabaBlock_new,alibabaBlock_5,10,0.0974,0.0977,-0.030,,0.1166,
alibabaBlock_new,alibabaBlock_507,10,0.1659,0.1658,0.010,0.1658,0.1658,0.000
alibabaBlock_new,alibabaBlock_509,10,0.0966,0.0969,-0.030,,,
alibabaBlock_new,alibabaBlock_513,10,0.0980,0.0983,-0.030,0.1183,,
alibabaBlock_new,alibabaBlock_52,10,,,,,,
alibabaBlock_new,alibabaBlock_522,10,0.0637,0.0638,-0.010,0.0739,0.0739,0.005
alibabaBlock_new,alibabaBlock_538,10,,,,,,
alibabaBlock_new,alibabaBlock_54,10,0.1070,0.1068,0.020,,0.1101,
alibabaBlock_new,alibabaBlock_555,10,0.3232,0.3161,0.710,,,
alibabaBlock_new,alibabaBlock_556,10,0.0979,0.0981,-0.020,,0.1178,
alibabaBlock_new,alibabaBlock_56,10,0.1086,0.1084,0.020,0.1313,0.1313,0.000
alibabaBlock_new,alibabaBlock_58,10,,,,,,
alibabaBlock_new,alibabaBlock_59,10,0.7326,0.7323,0.030,0.7331,0.7331,0.000
alibabaBlock_new,alibabaBlock_6,10,0.3995,0.3983,0.120,,0.3954,
alibabaBlock_new,alibabaBlock_61,10,0.7340,0.7337,0.030,,,
alibabaBlock_new,alibabaBlock_62,10,0.1089,0.1082,0.070,0.1311,0.1310,0.010
alibabaBlock_new,alibabaBlock_631,10,0.2930,0.2928,0.020,,,
alibabaBlock_new,alibabaBlock_651,10,0.1066,0.1067,-0.010,,0.1095,
alibabaBlock_new,alibabaBlock_66,10,0.1164,0.1158,0.060,0.1349,0.1348,0.010
alibabaBlock_new,alibabaBlock_661,10,0.1148,0.1153,-0.050,0.1441,0.1439,0.020
alibabaBlock_new,alibabaBlock_663,10,0.0992,0.0995,-0.030,0.1194,0.1193,0.010
alibabaBlock_new,alibabaBlock_67,10,0.7367,0.7364,0.030,0.7372,0.7372,0.000
alibabaBlock_new,alibabaBlock_679,10,0.0253,0.0253,0.000,0.0265,0.0265,0.000
alibabaBlock_new,alibabaBlock_68,10,0.0474,0.0474,0.000,,0.0554,
alibabaBlock_new,alibabaBlock_69,10,0.0970,0.0972,-0.020,0.1162,0.1161,0.015
alibabaBlock_new,alibabaBlock_7,10,0.0907,0.0905,0.020,0.0827,0.0827,0.000
alibabaBlock_new,alibabaBlock_701,10,0.2256,0.2211,0.450,0.2081,0.2080,0.010
alibabaBlock_new,alibabaBlock_717,10,0.4976,0.4975,0.010,,0.5554,
alibabaBlock_new,alibabaBlock_72,10,0.1174,0.1168,0.060,0.1400,,
alibabaBlock_new,alibabaBlock_724,10,0.6077,0.6042,0.350,,,
alibabaBlock_new,alibabaBlock_725,10,,,,,,
alibabaBlock_new,alibabaBlock_726,10,0.7340,0.7256,0.840,0.6482,0.6480,0.020
alibabaBlock_new,alibabaBlock_727,10,0.5139,0.5136,0.030,0.5905,0.5905,0.000
alibabaBlock_new,alibabaBlock_728,10,0.8904,0.8908,-0.040,0.8790,0.8801,-0.110
alibabaBlock_new,alibabaBlock_730,10,,,,,,
alibabaBlock_new,alibabaBlock_731,10,,,,,,
alibabaBlock_new,alibabaBlock_733,10,0.1517,0.1498,0.190,0.1383,0.1384,-0.010
alibabaBlock_new,alibabaBlock_736,10,,,,,,
alibabaBlock_new,alibabaBlock_737,10,0.2605,0.2598,0.070,0.2603,0.2601,0.020
alibabaBlock_new,alibabaBlock_74,10,0.7511,0.7508,0.030,0.7506,0.7505,0.010
alibabaBlock_new,alibabaBlock_740,10,0.2611,,,0.2762,,
alibabaBlock_new,alibabaBlock_742,10,0.7535,0.7340,1.950,0.6019,0.6072,-0.530
alibabaBlock_new,alibabaBlock_743,10,0.9011,0.9011,0.000,0.8984,0.8984,0.000
alibabaBlock_new,alibabaBlock_745,10,,,,,,
alibabaBlock_new,alibabaBlock_746,10,,,,,,
alibabaBlock_new,alibabaBlock_748,10,0.6596,0.6492,1.040,0.5119,0.5232,-1.135
alibabaBlock_new,alibabaBlock_749,10,,,,,,
alibabaBlock_new,alibabaBlock_751,10,,,,,,
alibabaBlock_new,alibabaBlock_759,10,,,,,,
alibabaBlock_new,alibabaBlock_76,10,0.1130,0.1123,0.070,,0.1330,
alibabaBlock_new,alibabaBlock_77,10,0.1441,0.1436,0.050,0.1450,,
alibabaBlock_new,alibabaBlock_771,10,0.6877,0.6877,0.000,,,
alibabaBlock_new,alibabaBlock_78,10,0.1128,0.1121,0.070,,0.1345,
alibabaBlock_new,alibabaBlock_784,10,0.6986,0.6912,0.740,0.6668,0.6665,0.030
alibabaBlock_new,alibabaBlock_79,10,,,,,,
alibabaBlock_new,alibabaBlock_791,10,0.8626,0.8636,-0.100,0.8688,0.8681,0.070
alibabaBlock_new,alibabaBlock_792,10,0.9349,0.9307,0.420,,,
alibabaBlock_new,alibabaBlock_8,10,0.1132,0.1126,0.060,,0.1332,
alibabaBlock_new,alibabaBlock_801,10,0.9279,0.9276,0.030,0.9243,0.9242,0.010
alibabaBlock_new,alibabaBlock_804,10,,,,,,
alibabaBlock_new,alibabaBlock_810,10,,,,,,
alibabaBlock_new,alibabaBlock_825,10,0.7276,0.7275,0.010,0.7264,0.7264,0.000
alibabaBlock_new,alibabaBlock_826,10,0.7269,0.7268,0.010,0.7257,0.7257,0.000
alibabaBlock_new,alibabaBlock_83,10,0.1120,0.1117,0.030,,0.1358,
alibabaBlock_new,alibabaBlock_86,10,0.1121,0.1116,0.050,,0.1347,
alibabaBlock_new,alibabaBlock_88,10,0.1094,0.1093,0.010,0.1334,0.1333,0.010
