dataset,trace,cache_pct,lru,lruforgive,lru_gap_pp,s3fifo,s3fifoforgive,s3_gap_pp
?,tencentBlock_21204,10,0.2345,0.2353,-0.080,0.2290,0.2279,0.110
?,tencentBlock_21233,10,0.6979,0.6979,0.000,0.6975,0.6975,0.000
?,tencentBlock_21281,10,0.1167,0.1162,0.050,0.1157,0.1157,0.000
?,tencentBlock_21300,10,0.1932,0.1905,0.270,0.1825,0.1825,0.000
?,tencentBlock_2136,10,0.1486,0.1486,0.000,0.1486,0.1486,0.000
?,tencentBlock_21361,10,0.0706,0.0700,0.060,0.0659,0.0659,0.000
?,tencentBlock_2138,10,0.2380,0.2370,0.100,0.2315,0.2314,0.010
?,tencentBlock_21398,10,0.0685,0.0684,0.010,0.0686,0.0686,0.000
?,tencentBlock_21492,10,0.0781,0.0769,0.120,0.0748,0.0748,0.000
?,tencentBlock_21498,10,0.1978,0.1978,0.000,0.1961,0.1961,0.000
?,tencentBlock_21569,10,0.2242,0.2226,0.160,0.2182,0.2182,0.000
?,tencentBlock_21582,10,0.2878,0.2764,1.140,,0.2704,
?,tencentBlock_21598,10,0.2771,0.2738,0.330,0.2647,0.2647,0.000
?,tencentBlock_21615,10,0.1088,0.1085,0.030,0.1061,0.1061,0.000
?,tencentBlock_21654,10,0.1496,0.1467,0.290,0.1397,0.1397,0.000
?,tencentBlock_21668,10,0.3189,0.3189,0.000,0.3183,0.3183,0.000
?,tencentBlock_21699,10,0.3686,0.3408,2.780,0.3014,0.3000,0.140
?,tencentBlock_21705,10,0.2924,0.2908,0.160,0.2840,0.2840,0.000
?,tencentBlock_21742,10,0.3335,0.3335,0.000,0.3334,0.3334,0.000
?,tencentBlock_21750,10,0.3517,0.3518,-0.010,0.3474,0.3474,0.005
?,tencentBlock_21792,10,0.6320,0.6316,0.040,0.6307,0.6306,0.010
?,tencentBlock_21803,10,0.1283,0.1250,0.330,0.1201,0.1200,0.005
?,tencentBlock_21829,10,,,,,,
?,tencentBlock_21864,10,0.1293,0.1246,0.470,0.1128,0.1114,0.140
?,tencentBlock_21914,10,0.1009,0.1001,0.080,0.0974,0.0974,0.000
?,tencentBlock_21979,10,0.2034,0.2015,0.190,0.1943,0.1943,0.000
?,tencentBlock_21982,10,0.5661,0.5657,0.040,0.5657,0.5655,0.020
?,tencentBlock_21984,10,0.2188,0.2091,0.970,0.2055,0.2042,0.130
?,tencentBlock_2199,10,0.1539,0.1539,0.000,0.1539,0.1539,0.000
?,tencentBlock_22033,10,0.3521,0.3519,0.020,0.3486,,
?,tencentBlock_22039,10,0.3170,0.3170,0.000,0.3170,0.3170,0.000
?,tencentBlock_22043,10,0.2686,0.2686,0.000,0.2686,0.2686,0.000
?,tencentBlock_22080,10,0.1544,0.1541,0.030,0.1510,0.1510,0.000
?,tencentBlock_22082,10,0.1734,0.1682,0.520,0.1617,0.1617,0.000
?,tencentBlock_22091,10,0.3880,0.3637,2.430,0.3439,0.3432,0.070
?,tencentBlock_22098,10,0.5093,0.5092,0.010,0.5060,0.5061,-0.005
?,tencentBlock_22133,10,0.4601,0.4555,0.460,0.4351,,
?,tencentBlock_22144,10,0.8009,0.8008,0.010,0.8009,0.8009,0.000
?,tencentBlock_22235,10,0.1716,0.1701,0.150,0.1563,0.1564,-0.010
?,tencentBlock_22278,10,0.3277,0.3257,0.200,0.3238,0.3238,0.000
?,tencentBlock_22290,10,0.1550,0.1517,0.330,0.1473,0.1473,0.000
?,tencentBlock_22344,10,0.1098,0.1131,-0.330,0.1036,0.1036,0.000
?,tencentBlock_22353,10,0.2036,0.2041,-0.050,0.2018,0.2018,0.000
?,tencentBlock_22358,10,0.2213,0.2075,1.380,0.1619,0.1928,-3.090
?,tencentBlock_2238,10,0.1582,0.1582,0.000,0.1581,0.1581,0.000
?,tencentBlock_22395,10,0.1520,0.1515,0.050,0.1456,0.1456,-0.005
?,tencentBlock_22408,10,0.4946,0.4903,0.430,0.4880,0.4880,0.000
?,tencentBlock_22425,10,0.2338,0.2309,0.290,0.2241,0.2241,0.000
?,tencentBlock_22442,10,0.1653,0.1605,0.480,0.1518,0.1520,-0.020
?,tencentBlock_22451,10,0.1949,0.1948,0.010,0.1938,0.1938,0.000
?,tencentBlock_22455,10,0.4000,0.4000,0.000,0.3998,0.3998,0.000
?,tencentBlock_22503,10,0.2475,0.2424,0.510,0.2174,0.2176,-0.020
?,tencentBlock_22505,10,0.2279,0.2279,0.000,0.2279,0.2279,0.000
?,tencentBlock_22509,10,0.1096,0.1086,0.100,0.1053,0.1053,0.000
?,tencentBlock_22524,10,0.4660,0.4660,0.000,0.4647,0.4647,0.000
?,tencentBlock_2255,10,0.4498,0.4429,0.690,0.4432,0.4432,0.000
?,tencentBlock_22553,10,0.3554,0.3554,0.000,0.3533,,
?,tencentBlock_22588,10,0.4269,0.4267,0.020,0.4303,0.4303,0.000
?,tencentBlock_22597,10,0.1856,0.1853,0.030,0.1823,0.1823,0.000
?,tencentBlock_22616,10,0.4190,0.3942,2.480,0.3641,0.3638,0.030
?,tencentBlock_22620,10,0.2691,0.2690,0.010,0.2796,0.2797,-0.010
?,tencentBlock_22639,10,0.2901,0.2901,0.000,0.2898,0.2898,0.000
?,tencentBlock_22645,10,0.3517,0.3497,0.200,0.3374,0.3373,0.010
?,tencentBlock_22688,10,0.4160,0.4160,0.000,0.4161,0.4161,0.000
?,tencentBlock_2276,10,0.0814,0.0799,0.150,0.0781,0.0781,0.000
?,tencentBlock_22770,10,0.4876,0.4873,0.030,0.4873,0.4873,0.000
?,tencentBlock_22815,10,0.5440,0.5441,-0.010,0.5425,0.5425,0.000
?,tencentBlock_22839,10,0.0197,0.0197,0.000,0.0197,0.0197,0.000
?,tencentBlock_22846,10,0.3563,0.3532,0.310,0.3441,0.3441,0.000
?,tencentBlock_22864,10,0.6112,0.6112,0.000,0.6090,0.6089,0.005
?,tencentBlock_22925,10,0.2422,0.2409,0.130,0.2328,0.2327,0.010
?,tencentBlock_22939,10,0.2395,0.2392,0.030,0.2387,0.2387,0.000
?,tencentBlock_22964,10,0.4614,0.4619,-0.050,0.4359,0.4364,-0.050
?,tencentBlock_23019,10,0.4397,0.4394,0.030,0.4374,0.4375,-0.010
?,tencentBlock_23036,10,0.1617,0.1611,0.060,0.1611,0.1611,0.000
?,tencentBlock_23040,10,0.5027,0.5028,-0.010,0.4993,0.4993,0.000
?,tencentBlock_23068,10,0.6129,0.6130,-0.010,0.6133,0.6133,0.000
?,tencentBlock_23096,10,0.2777,0.2593,1.840,0.2411,0.2509,-0.980
?,tencentBlock_23104,10,0.2050,0.2050,0.000,0.2041,0.2041,0.000
?,tencentBlock_23128,10,0.0197,0.0197,0.000,0.0197,0.0197,0.000
?,tencentBlock_23181,10,0.0401,0.0400,0.010,0.0394,0.0394,0.000
?,tencentBlock_23190,10,0.1107,0.1107,0.000,0.1106,0.1106,0.000
?,tencentBlock_23239,10,0.5387,0.5209,1.780,0.4959,0.4929,0.300
?,tencentBlock_23247,10,0.1146,0.1146,0.000,0.1122,0.1122,0.000
?,tencentBlock_23254,10,0.3133,0.3133,0.000,0.3121,0.3121,0.000
?,tencentBlock_23260,10,0.2001,0.1956,0.450,0.1845,0.1850,-0.050
?,tencentBlock_2327,10,0.1418,0.1314,1.040,0.1256,0.1288,-0.320
?,tencentBlock_23286,10,0.4465,0.4832,-3.670,0.4719,0.4718,0.010
?,tencentBlock_23296,10,0.7096,0.7096,0.000,0.7096,0.7097,-0.010
?,tencentBlock_23315,10,0.8274,0.8288,-0.140,0.8265,,
?,tencentBlock_23327,10,0.4594,0.4593,0.010,0.4586,0.4585,0.010
?,tencentBlock_23335,10,0.1864,0.1846,0.180,0.1791,0.1791,0.000
?,tencentBlock_23383,10,0.0357,0.0355,0.020,0.0345,0.0345,0.000
?,tencentBlock_23405,10,0.2206,0.2206,0.000,0.2206,0.2206,0.000
?,tencentBlock_23412,10,0.3465,0.3465,0.000,0.3466,0.3466,0.000
?,tencentBlock_23419,10,0.3336,0.3336,0.000,0.3335,0.3335,0.000
?,tencentBlock_23421,10,1.0000,1.0000,0.000,1.0000,1.0000,0.000
?,tencentBlock_23435,10,0.3582,0.3582,0.000,0.3580,0.3580,0.000
?,tencentBlock_23449,10,0.4691,0.4687,0.040,0.4670,0.4669,0.010
?,tencentBlock_23469,10,1.0000,1.0000,0.000,1.0000,1.0000,0.000
?,tencentBlock_23482,10,0.5001,0.4959,0.420,0.4937,0.4942,-0.050
?,tencentBlock_23501,10,0.1194,0.1194,0.000,0.1192,0.1192,0.000
?,tencentBlock_23515,10,0.2885,0.2862,0.230,0.2805,0.2805,0.000
?,tencentBlock_23524,10,0.4111,0.4111,0.000,0.4111,0.4111,0.000
?,tencentBlock_23525,10,0.0080,0.0080,0.000,0.0080,0.0080,0.000
?,tencentBlock_23539,10,0.6421,0.6420,0.010,0.6402,0.6402,0.000
?,tencentBlock_23563,10,0.6471,0.6470,0.010,0.6463,0.6462,0.010
?,tencentBlock_23595,10,0.1242,0.1242,0.000,0.1241,0.1241,0.000
?,tencentBlock_23603,10,0.5745,0.5693,0.520,0.5479,0.5475,0.040
?,tencentBlock_23605,10,0.1700,0.1690,0.100,0.1625,0.1625,0.000
?,tencentBlock_23611,10,0.2628,0.2613,0.150,0.2581,0.2581,0.000
?,tencentBlock_23617,10,0.3734,0.3726,0.080,0.3714,0.3714,0.000
?,tencentBlock_23623,10,0.4273,0.4265,0.080,0.4255,0.4255,0.000
?,tencentBlock_2363,10,0.2526,0.2530,-0.040,0.2711,0.2711,0.000
?,tencentBlock_23630,10,0.3800,0.3800,0.000,0.3796,0.3796,0.000
?,tencentBlock_23633,10,0.3418,0.3372,0.460,0.3288,0.3287,0.010
?,tencentBlock_23634,10,0.3369,0.3350,0.190,0.3406,0.3407,-0.010
?,tencentBlock_23638,10,0.0219,0.0219,0.000,0.0219,0.0219,0.000
?,tencentBlock_23642,10,0.3151,0.3150,0.010,0.3146,0.3146,0.000
?,tencentBlock_23646,10,0.4032,0.4032,0.000,0.3985,0.3985,0.000
?,tencentBlock_23650,10,0.2789,0.2771,0.180,0.2739,0.2739,0.000
?,tencentBlock_23654,10,0.1153,0.1130,0.230,0.1074,0.1074,0.000
?,tencentBlock_23659,10,0.3906,0.3777,1.290,0.3666,0.3674,-0.080
?,tencentBlock_23663,10,0.6960,0.6945,0.150,0.6906,0.6906,0.000
?,tencentBlock_23672,10,0.2797,0.2830,-0.330,0.2704,0.2701,0.030
?,tencentBlock_23681,10,0.3508,0.3508,0.000,0.3506,0.3506,0.000
